0,1,2
Number of receivables,,65408
Average principal balance,,"$24,758.99"
Range of principal balances,,"$1,003.54 to $90,904.00"
Weighted average annual percentage rate(1),,4.94%
Range of annual percentage rates,,0.90% to 24.02%
Weighted average original term to maturity(1),,62.69 months
Range of original terms to maturity,,24 months to 72 months
Weighted average remaining term to maturity(1),,50.65 months
Range of remaining terms to maturity,,7 months to 70 months
Percentage of aggregate principal balance of receivables for new/used vehicles,,86.15%/13.85%
