0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,Class A-3,,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4,Class A-4
"September 15, 2027",,42.82,,26.07,,8.09,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,73.48,,0.00,,0.00
"October 15, 2027",,38.93,,22.70,,5.25,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,0.00,,0.00,,0.00
"November 15, 2027",,35.01,,19.34,,2.48,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,0.00,,0.00,,0.00
"December 15, 2027",,31.07,,16.00,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,98.42,,0.00,,0.00,,0.00
"January 15, 2028",,27.09,,12.68,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,78.83,,0.00,,0.00,,0.00
"February 15, 2028",,23.35,,9.54,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00
"March 15, 2028",,19.68,,6.48,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00
"April 15, 2028",,15.98,,3.44,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00
"May 15, 2028",,12.24,,0.41,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00
"June 15, 2028",,8.43,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,80.66,,0.00,,0.00,,0.00,,0.00
"July 15, 2028",,5.45,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00
"August 15, 2028",,2.44,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00
"September 15, 2028",,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,95.64,,0.00,,0.00,,0.00,,0.00,,0.00
"October 15, 2028",,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,76.09,,0.00,,0.00,,0.00,,0.00,,0.00
"November 15, 2028",,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life to Call (years)(2),,3.42,,3.07,,2.65,,2.39,,2.03,,1.79,,4.63,,4.31,,3.89,,3.54,,3.03,,2.69
Weighted Average Life to Maturity (years)(2),,3.42,,3.07,,2.65,,2.39,,2.03,,1.79,,4.73,,4.43,,4.01,,3.64,,3.09,,2.73
