0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,Initial  Principal  Amount(2),Initial  Principal  Amount(2),,,Initial  Offered  Amount(3),Initial  Offered  Amount(3),,,Interest  Rate(4),Interest  Rate(4),,,Final Scheduled  Payment Date,,Expected  Final  Payment Date
Class A-1  Notes,,$,338000000,,,$,321100000,,,,·%,,,"October 15, 2025",,"May 15, 2025"
Class  A-2 Notes,,$,443500000,,,$,421325000,,,,·%,,,"March 15, 2027",,"April 15, 2026"
Class A-3 Notes,,$,518500000,,,$,492575000,,,,·%,,,"May 15, 2029",,"January 18, 2028"
Class  A-4 Notes,,$,68422000,,,$,65000000,,,,·%,,,"December 16, 2030",,"January 18, 2028"
Total,,$,1368422000,,,$,1300000000,,,,,,,,,
