0,1,2
Fee,,Amount
Asset Representations Reviewer fee,,"(i) $416.67 to be paid monthly, allocated to Series 2026-1 based on the Series 2026-1 ARR Series Allocation Percentage and (ii) $1,666.67 to be paid  monthly, based on the Series 2026-1 Supplemental ARR Series Allocation Percentage"
,,
Asset Representations Reviewer review fee,,"$50,000, to be paid in connection with an Asset Representations Review, allocated to Series 2026-1 based on the Series 2026-1 ARR Series Allocation Percentage"
,,
Servicing Fee,,"1/12 of 0.75% of the Pool Balance, to be paid monthly, allocated to Series 2026-1 based on the Series 2026-1 Allocation Percentage"
,,
Successor servicing fee,,"(i) one-time successor servicer engagement fee of $150,000, payable on the first Payment Date following the successor servicer’s assumption of its duties as successor  servicer and (ii) a fee equal to the product of the Series 2026-1 Group Allocated Percentage and the excess, if any, of $425,000 over the Servicing Fee, to be paid monthly, in each case, allocated to Series 2026-1 based on the Series 2026-1  Group Allocated Percentage"
