0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,BANA,BANA,BANA,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Huntington Beach, CA 92648"
Original Balance(1):,Original Balance(1):,"$47,000,000","$47,000,000","$47,000,000",,General Property Type:,Hospitality
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$47,000,000","$47,000,000","$47,000,000",,Detailed Property Type:,Full Service
% of Initial Pool Balance:,% of Initial Pool Balance:,5.5%,5.5%,5.5%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1990/2018-2020
Borrower Sponsor:,Borrower Sponsor:,The Mayer Corporation,The Mayer Corporation,The Mayer Corporation,,Size:,437 Rooms
Guarantors:,Guarantors:,"Robert L. Mayer, Jr. and Robert L.","Robert L. Mayer, Jr. and Robert L.","Robert L. Mayer, Jr. and Robert L.",,Cut-off Date Balance Per Room(1):,"$290,618"
,,"Mayer, Jr. as trustee of the Robert L.","Mayer, Jr. as trustee of the Robert L.","Mayer, Jr. as trustee of the Robert L.",,Maturity Date Balance Per Room(1):,"$290,618"
,,"Mayer, Jr. Separate Property Trust","Mayer, Jr. Separate Property Trust","Mayer, Jr. Separate Property Trust",,Property Manager:,"Mayer Hospitality Group, LLC"
Mortgage Rate:,Mortgage Rate:,6.1070%,6.1070%,6.1070%,,,(borrower-related)
Note Date:,Note Date:,2/27/2026,2/27/2026,2/27/2026,,Underwriting  and Financial Information,Underwriting  and Financial Information
Maturity Date:,Maturity Date:,3/1/2031,3/1/2031,3/1/2031,,UW NOI:,"$17,173,358"
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,UW NCF:,"$14,051,251"
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI Debt Yield(1):,13.5%
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF Debt Yield(1):,11.1%
Seasoning:,Seasoning:,3 months,3 months,3 months,,UW NOI Debt Yield at Maturity(1):,13.5%
Prepayment Provisions:,Prepayment Provisions:,"L(27),D(26),O(7)","L(27),D(26),O(7)","L(27),D(26),O(7)",,UW NCF DSCR(1):,1.79x
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,Most Recent NOI:,"$16,373,418 (1/31/2026 TTM)"
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,2nd Most Recent NOI:,"$17,248,908 (12/31/2024)"
Additional Debt Balance(1):,Additional Debt Balance(1):,"$80,000,000","$80,000,000","$80,000,000",,3rd Most Recent NOI:,"$17,410,643 (12/31/2023)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,Most Recent Occupancy:,70.6% (1/31/2026)
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,2nd Most Recent Occupancy:,67.8% (12/31/2024)
Type,Initial,Initial,Monthly,Cap,,3rd Most Recent Occupancy:,67.8% (12/31/2023)
RE Taxes:,$0,$0,"$163,398",NAP,,Appraised Value (as of):,"$219,000,000 (1/28/2026)"
Insurance:,"$1,272,443","$1,272,443","$127,244",NAP,,Appraised Value Per Room:,"$501,144"
FF&E Reserve:,$0,$0,"$260,176",NAP,,Cut-off Date LTV Ratio(1):,58.0%
PIP Reserve(2):,$0,$0,$0,NAP,,Maturity Date LTV Ratio(1):,58.0%
,,,,,,,
