0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
,,Initial Principal Amount(2)(3),Initial Principal Amount(2)(3),,,Interest Rate(4),Interest Rate(4),,,Final Scheduled Distribution Date
Class A-1 Asset-backed Notes,,$,244000000,,,,,%,,"February 16, 2027"
Class A-2 Asset-backed Notes,,$,323500000,,,,,%,,"April 16, 2029"
Class A-3 Asset-backed Notes,,$,323500000,,,,,%,,"March 17, 2031"
Class A-4 Asset-backed Notes,,$,65280000,,,,,%,,"March 15, 2032"
Class B Asset-backed Notes,,$,20100000,,,,,%,,"March 15, 2032"
Class C Asset-backed Notes,,$,13570000,,,,,%,,"March 15, 2032"
Class D Asset-backed Notes,,$,10050000,,,,,%,,"January 18, 2033"
