0,1,2,3,4,5,6,7
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,Mortgage Loan Seller:,WFB/JPMCB,WFB/JPMCB,WFB/JPMCB,,Single  Asset/Portfolio:,Single Asset
,,,,,,Location:,"Irvine, CA 92612"
Original Balance(1):,Original Balance(1):,"$60,000,000","$60,000,000","$60,000,000",,General Property Type:,Office
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$60,000,000","$60,000,000","$60,000,000",,Detailed Property Type:,CBD
% of Initial Pool Balance:,% of Initial Pool Balance:,8.7%,8.7%,8.7%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Recapitalization,Recapitalization,Recapitalization,,Year Built/Renovated:,1999-2006/2015-2025
Borrower Sponsor:,Borrower Sponsor:,The Irvine Company LLC,The Irvine Company LLC,The Irvine Company LLC,,Size:,"1,154,250 SF"
Guarantor:,Guarantor:,Irvine Core Office LLC,Irvine Core Office LLC,Irvine Core Office LLC,,Cut-off Date Balance Per SF(1):,$117
Mortgage Rate:,Mortgage Rate:,5.5520%,5.5520%,5.5520%,,Maturity Date Balance Per SF(1):,$117
Note Date:,Note Date:,8/26/2025,8/26/2025,8/26/2025,,Property Manager:,Irvine Management Company
Maturity Date:,Maturity Date:,9/11/2035,9/11/2035,9/11/2035,,,(borrower-related)
Term to Maturity:,Term to Maturity:,120 months,120 months,120 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$23,887,446"
IO Period:,IO Period:,120 months,120 months,120 months,,UW NCF:,"$22,485,950"
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield(1):,17.7%
Prepayment Provisions:,Prepayment Provisions:,"L(24),YM1(1),DorYM1(90),O(5)","L(24),YM1(1),DorYM1(90),O(5)","L(24),YM1(1),DorYM1(90),O(5)",,UW NCF Debt Yield(1):,16.7%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity(1):,17.7%
Additional Debt Type(1):,Additional Debt Type(1):,Pari Passu,Pari Passu,Pari Passu,,UW NCF DSCR(1):,2.96x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$75,000,000","$75,000,000","$75,000,000",,Most Recent NOI:,"$21,319,637 (6/30/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$20,381,263 (12/31/2024 TTM)"
,,,,,,3rd Most Recent NOI:,"$20,133,595 (6/30/2024)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,Most Recent Occupancy:,80.9% (7/31/2025)
Type,Initial,Initial,Monthly,Cap,,2nd Most Recent Occupancy:,79.0% (6/30/2024)
RE Taxes:,$0,$0,Springing,NAP,,3rd Most Recent Occupancy:,81.0% (6/30/2023)
Insurance:,$0,$0,Springing,NAP,,Appraised Value (as of):,"$265,000,000 (3/5/2025)"
Replacement Reserve:,$0,$0,Springing,NAP,,Appraised Value PSF:,$230
TI/LC Reserve:,$0,$0,Springing,NAP,,Cut-off Date LTV Ratio(1):,50.9%
Existing TI/LC Reserve:,"$1,909,289","$1,909,289",$0,NAP,,Maturity Date LTV Ratio(1):,50.9%
Rent Concession Reserve:,"$537,085","$537,085",$0,NAP,,,
,,,,,,,
