0,1,2,3,4,5,6,7,8,9,10
Underwriter,,Class A-1  Notes,,Class A-2a  Notes(1),,Class A-2b  Notes(1),,Class A-3  Notes,,Class A-4  Notes
J.P. Morgan Securities LLC,,$________,,$_________,,$__________,,$__________,,$__________
MUFG Securities Americas Inc.,,________,,__________,,__________,,__________,,__________
"RBC Capital Markets, LLC",,________,,__________,,__________,,__________,,__________
ING Financial Markets LLC,,________,,__________,,__________,,__________,,__________
Mizuho Securities USA LLC,,________,,__________,,__________,,__________,,__________
Total,,"$208,000,000(2)",,$_____(3),,$_____(3),,"$483,500,000(2)",,"$75,000,000(2)"
