0,1,2,3
Class  of Certificates,Low  Estimate of Fair Value (Based on High Estimate of Discount Yield),Base  Case Estimate of Fair Value,High  Estimate of Fair Value (Based on Low Estimate of Discount Yield)
Class A-1,"$1,197,983","$1,197,973","$1,197,996"
Class A-2(1),"$151,499,173","$151,497,211","$151,497,199"
Class A-3(1),"$293,201,025","$293,198,494","$293,195,397"
Class X-A,"$18,884,849","$28,713,660","$36,188,972"
Class X-B,"$1,171,024","$3,930,690","$5,936,684"
Class A-S,"$44,091,706","$44,091,388","$44,090,660"
Class B,"$35,273,324","$35,274,195","$35,273,200"
Class C,"$26,462,973","$26,462,518","$26,462,033"
Class X-D(2),"$2,334,849","$2,293,109","$2,239,502"
Class D(2),"$20,261,032","$20,481,109","$20,118,083"
Class E-RR(3),"$2,921,551","$3,377,373","$3,860,008"
Class F-RR,"$5,426,427","$5,426,427","$5,426,427"
Class G-RR,"$4,590,932","$4,590,932","$4,590,932"
Class H-RR,"$3,339,299","$3,339,299","$3,339,299"
Class J-RR,"$7,095,272","$7,095,272","$7,095,272"
Class K-RR,"$8,348,255","$8,348,255","$8,348,255"
Total,"$626,099,675","$639,317,906","$648,859,918"
