0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
,,New,New,,,Used,Used,,,Total,Total,
Aggregate Outstanding Principal Balance,,$,427199361.49,,,$,1030846631.69,,,$,1458045993.18,
Number of Receivables,,,14925,,,,49513,,,,64438,
Percentage of Aggregate Outstanding Principal Balance,,,29.30,%,,,70.70,%,,,100.00,%
Average Outstanding Principal Balance,,$,28623.07,,,$,20819.72,,,$,22627.11,
Range of Outstanding Principal Balances,,$,"556.27 to $99,656.59",,,$,"517.33 to $88,417.17",,,$,"517.33 to $99,656.59",
Weighted Average Contract Rate(1),,,16.14,%,,,19.57,%,,,18.56,%
Range of Contract Rates,,,0.00% to 29.99,%,,,0.38% to 29.99,%,,,0.00% to 29.99,%
Weighted Average Remaining Term(1),,,67 months,,,,68 months,,,,67 months,
Range of Remaining Terms(2),,,4 months to 75 months,,,,4 months to 75 months,,,,4 months to 75 months,
Weighted Average Original Term(1),,,73 months,,,,72 months,,,,72 months,
Range of Original Terms(2),,,24 months to 75 months,,,,24 months to 75 months,,,,24 months to 75 months,
