0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-1,AART 2019-1,,,AART 2024-1,AART 2024-1,
Weighted Average APR,,,6.93,%,,,9.62,%
Aggregate Amount Financed,,$,1119999920.35,,,$,1121999935.31,
Number of Contracts in Pool,,,66201,,,,59162,
Average Amount Financed,,$,16918.17,,,$,18964.88,
Weighted Average Original Maturity (in Months),,,66.13,,,,70.97,
Weighted Average Remaining Maturity (in Months),,,56.69,,,,53.76,
Percentage of Receivables with Original Maturities > 60 Months,,,67.96,%,,,82.05,%
Percentage of New Vehicles,,,70.33,%,,,40.00,%
Percentage of Non-Subvented Receivables,,,99.71,%,,,99.88,%
Weighted Average FICO Score,,,735.05,,,,734.63,
Weighted Average Loan-to-Value,,,93.39,,,,95.81,
Cutoff Date,,,"January 1, 2019",,,,"February 1, 2024",
