0,1,2,3,4,5,6,7,8,9
Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1),Tenant Summary(1)
Tenant Name,Credit Rating (Moody’s/ Fitch/S&P),Tenant SF,Approx. % of SF,Annual UW Rent(2),% of Total Annual UW Rent,Annual UW Rent PSF(2),Lease Exp.,Renewal Options,Term. Option (Y/N)
Major Tenants,,,,,,,,,
Universal Services of America,NR/NR/NR,53360,4.6%,"$1,299,850",5.6%,$24.36,7/31/2030,1 x 5 Yr,Y(3)
"MobilityWare, LLC & Upstanding",NR/NR/NR,50851,4.4%,"$1,501,122",6.5%,$29.52,3/31/2026,1 x 5 Yr,N
"TriMark Raygal, LLC(4)",NR/NR/NR,46526,4.0%,"$1,228,286",5.3%,$26.40,3/31/2027,1 x 5 Yr,N
"HDR Engineering, Inc",NR/NR/NR,44210,3.8%,"$1,039,819",4.5%,$23.52,5/31/2034,1 x 5 Yr,N
Waymakers,NR/NR/NR,31425,2.7%,"$754,200",3.3%,$24.00,Various(5),1 x 5 Yr,N
Major Tenants Subtotal/Wtd. Avg.,,226372,19.6%,"$5,823,277",25.1%,$25.72,,,
Other Tenants,,707607,61.3%,"$17,370,390",74.9%,$24.55,,,
Occupied Subtotal/Wtd. Avg.,,933979,80.9%,"$23,193,667",100.0%,$24.83,,,
Vacant Space,,220271,19.1%,,,,,,
Total/Wtd. Avg.,,1154250,100.0%,,,,,,
