0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
Closing Date,,100%,,100%,,100%,,100%,,100%
"August 15, 2024",,100%,,100%,,100%,,100%,,100%
"September 15, 2024",,100%,,100%,,100%,,100%,,100%
"October 15, 2024",,100%,,100%,,100%,,100%,,100%
"November 15, 2024",,100%,,100%,,100%,,100%,,100%
"December 15, 2024",,100%,,100%,,100%,,100%,,100%
"January 15, 2025",,100%,,100%,,100%,,100%,,100%
"February 15, 2025",,100%,,100%,,100%,,100%,,100%
"March 15, 2025",,100%,,100%,,100%,,100%,,100%
"April 15, 2025",,100%,,100%,,100%,,100%,,100%
"May 15, 2025",,100%,,100%,,100%,,100%,,100%
"June 15, 2025",,100%,,100%,,100%,,100%,,100%
"July 15, 2025",,100%,,100%,,100%,,100%,,100%
"August 15, 2025",,100%,,100%,,100%,,100%,,100%
"September 15, 2025",,100%,,100%,,100%,,100%,,100%
"October 15, 2025",,100%,,100%,,100%,,100%,,100%
"November 15, 2025",,100%,,100%,,100%,,100%,,100%
"December 15, 2025",,100%,,100%,,100%,,100%,,100%
"January 15, 2026",,100%,,100%,,100%,,100%,,99%
"February 15, 2026",,100%,,100%,,100%,,100%,,82%
"March 15, 2026",,100%,,100%,,100%,,100%,,66%
"April 15, 2026",,100%,,100%,,100%,,100%,,50%
"May 15, 2026",,100%,,100%,,100%,,92%,,34%
"June 15, 2026",,100%,,100%,,100%,,78%,,19%
"July 15, 2026",,100%,,100%,,96%,,65%,,4%
"August 15, 2026",,100%,,100%,,83%,,52%,,0%
"September 15, 2026",,100%,,100%,,71%,,39%,,0%
"October 15, 2026",,100%,,92%,,59%,,26%,,0%
"November 15, 2026",,100%,,80%,,47%,,13%,,0%
"December 15, 2026",,100%,,69%,,35%,,1%,,0%
"January 15, 2027",,100%,,58%,,24%,,0%,,0%
"February 15, 2027",,100%,,48%,,13%,,0%,,0%
"March 15, 2027",,100%,,37%,,1%,,0%,,0%
"April 15, 2027",,98%,,27%,,0%,,0%,,0%
"May 15, 2027",,88%,,16%,,0%,,0%,,0%
"June 15, 2027",,79%,,6%,,0%,,0%,,0%
"July 15, 2027",,69%,,0%,,0%,,0%,,0%
"August 15, 2027",,60%,,0%,,0%,,0%,,0%
"September 15, 2027",,51%,,0%,,0%,,0%,,0%
"October 15, 2027",,41%,,0%,,0%,,0%,,0%
"November 15, 2027",,32%,,0%,,0%,,0%,,0%
"December 15, 2027",,23%,,0%,,0%,,0%,,0%
"January 15, 2028",,14%,,0%,,0%,,0%,,0%
"February 15, 2028",,6%,,0%,,0%,,0%,,0%
"March 15, 2028",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,3.19,,2.59,,2.33,,2.11,,1.77
Weighted Average Life (Years) to Maturity,,3.19,,2.59,,2.33,,2.11,,1.77
