0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-2,AART 2019-2,,,AART 2024-1,AART 2024-1,
Weighted Average APR,,,7.00,%,,,9.62,%
Aggregate Amount Financed,,$,1120998037.60,,,$,1121999935.31,
Number of Contracts in Pool,,,66351,,,,59162,
Average Amount Financed,,$,16894.97,,,$,18964.88,
Weighted Average Original Maturity (in Months),,,66.15,,,,70.97,
Weighted Average Remaining Maturity (in Months),,,56.60,,,,53.76,
Percentage of Receivables with Original Maturities > 60 Months,,,66.85,%,,,82.05,%
Percentage of New Vehicles,,,70.00,%,,,40.00,%
Percentage of Non-Subvented Receivables,,,99.61,%,,,99.88,%
Weighted Average FICO Score,,,736.78,,,,734.63,
Weighted Average Loan-to-Value,,,93.20,,,,95.81,
Cutoff Date,,,"May 1, 2019",,,,"February 1, 2024",
