0,1,2,3,4,5,6,7,8,9
,Principal  Amount of  Class A-1 Notes,,Principal  Amount of  Class A-2a Notes(1),,Principal  Amount of  Class A-2b Notes(1),,Principal  Amount of  Class A-3 Notes,,Principal  Amount of  Class A-4 Notes
"RBC Capital Markets, LLC",$__________,,$__________,,$__________,,$__________,,$__________
CIBC World Markets Corp.,$__________,,$__________,,$__________,,$__________,,$__________
Credit Agricole Securities (USA) Inc.,$__________,,$__________,,$__________,,$__________,,$__________
Mizuho Securities USA LLC,$__________,,$__________,,$__________,,$__________,,$__________
"SG Americas Securities, LLC",$__________,,$__________,,$__________,,$__________,,$__________
Commerz Markets LLC,$__________,,$__________,,$__________,,$__________,,$__________
Total,"$282,150,000 (3)",,$_____ (2),,$_____ (2),,"$429,780,000 (3)",,"$62,415,000 (3)"
