0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-2,AART 2022-2,,,AART 2024-1,AART 2024-1,
Weighted Average APR,,,6.55,%,,,9.62,%
Aggregate Amount Financed,,$,1112887614.32,,,$,1121999935.31,
Number of Contracts in Pool,,,59250,,,,59162,
Average Amount Financed,,$,18782.91,,,$,18964.88,
Weighted Average Original Maturity (in Months),,,69.41,,,,70.97,
Weighted Average Remaining Maturity (in Months),,,55.00,,,,53.76,
Percentage of Receivables with Original Maturities > 60 Months,,,77.77,%,,,82.05,%
Percentage of New Vehicles,,,50.01,%,,,40.00,%
Percentage of Non-Subvented Receivables,,,98.72,%,,,99.88,%
Weighted Average FICO Score,,,729.59,,,,734.63,
Weighted Average Loan-to-Value,,,93.57,,,,95.81,
Cutoff Date,,,"September 1, 2022",,,,"February 1, 2024",
