0,1,2,3,4,5,6,7,8,9,10
Exchangeable  Certificate Detail,Exchangeable  Certificate Detail,Exchangeable  Certificate Detail,Exchangeable  Certificate Detail,Exchangeable  Certificate Detail,Exchangeable  Certificate Detail,Exchangeable  Certificate Detail,Exchangeable  Certificate Detail,Exchangeable  Certificate Detail,Exchangeable  Certificate Detail,Exchangeable  Certificate Detail
Class,CUSIP,Pass-Through  Rate,Maximum  Initial Balance,Beginning  Balance,Principal  Distribution,Interest  Distribution,Prepayment  Penalties,Realized  Losses,Total  Distribution,Ending  Balance
Exchangeable  Certificate Details,Exchangeable  Certificate Details,Exchangeable  Certificate Details,Exchangeable  Certificate Details,Exchangeable  Certificate Details,Exchangeable  Certificate Details,Exchangeable  Certificate Details,Exchangeable  Certificate Details,Exchangeable  Certificate Details,Exchangeable  Certificate Details,Exchangeable  Certificate Details
C  (Exch),,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C-1,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C-2,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C-X1,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C-X2,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D  (Exch),,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D-1,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D-2,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D-X1,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D-X2,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E  (Exch),,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E-1,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E-2,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E-X1,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
E-X2,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Exchangeable  Certificates Total,Exchangeable  Certificates Total,Exchangeable  Certificates Total,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,
