0,1,2,3,4,5
Mortgage Loan,Mortgage Loan Type,Note Name,Control Note/ Non-Control Note,Original Principal Balance,Note Holder(1)
Southeast MHP Portfolio,Serviced,Note A-1,Control,"$60,000,000",BANK5 2026-5YR22
Southeast MHP Portfolio,Serviced,Note A-2,Non-Control,"$50,000,000",MSBNA
Southeast MHP Portfolio,Serviced,Note A-3,Non-Control,"$20,000,000",BANK5 2026-5YR22
Southeast MHP Portfolio,Serviced,Note A-4,Non-Control,"$10,000,000",MSBNA
Southeast MHP Portfolio,Serviced,Note A-5,Non-Control,"$10,000,000",MSBNA
Southeast MHP Portfolio,Serviced,Note A-6,Non-Control,"$10,000,000",MSBNA
Southeast MHP Portfolio,Serviced,Note A-7,Non-Control,"$5,000,000",BANK5 2026-5YR22
Mountain Industrial Portfolio,Non-Serviced,Note A-1-1 and A-2-1,Control,"$332,760,000",MTN 2026-LPFX
Mountain Industrial Portfolio,Non-Serviced,Note A-1-2 and A-2-2,Non-Control,"$83,190,000",MTN 2026-LPFX
Mountain Industrial Portfolio,Non-Serviced,Note A-1-3 and A-2-3,Non-Control,"$83,190,000",MTN 2026-LPFX
