0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Payment Date,,1.00%,,1.50%,,1.75%,,2.00%,,2.50%
Closing Date,,100%,,100%,,100%,,100%,,100%
"August 15, 2024",,100%,,100%,,100%,,100%,,100%
"September 15, 2024",,100%,,100%,,100%,,100%,,98%
"October 15, 2024",,100%,,100%,,89%,,85%,,78%
"November 15, 2024",,100%,,88%,,77%,,72%,,62%
"December 15, 2024",,93%,,75%,,65%,,59%,,47%
"January 15, 2025",,83%,,63%,,54%,,46%,,32%
"February 15, 2025",,73%,,51%,,42%,,34%,,17%
"March 15, 2025",,63%,,40%,,31%,,21%,,2%
"April 15, 2025",,53%,,30%,,19%,,8%,,0%
"May 15, 2025",,44%,,19%,,8%,,0%,,0%
"June 15, 2025",,34%,,9%,,0%,,0%,,0%
"July 15, 2025",,26%,,0%,,0%,,0%,,0%
"August 15, 2025",,18%,,0%,,0%,,0%,,0%
"September 15, 2025",,10%,,0%,,0%,,0%,,0%
"October 15, 2025",,2%,,0%,,0%,,0%,,0%
"November 15, 2025",,0%,,0%,,0%,,0%,,0%
,,,,,,,,,,
Weighted Average Life (Years) to Call,,0.81,,0.62,,0.55,,0.50,,0.42
Weighted Average Life (Years) to Maturity,,0.81,,0.62,,0.55,,0.50,,0.42
