0,1,2,3,4,5
,,Fair Value  (in millions),Fair Value  (in millions),,Fair Value  (as a percentage)
Class A notes,,$,1350.0,,91.5% - 91.8%
Class B notes,,42.6,42.6,,2.9
Class C notes,,24.3,24.3,,1.7
Residual Interest,,54.0 - 58.4,54.0 - 58.4,,3.7 - 4.0
Total,,$,"1,471.0 - $1,475.4",,100.0%
