0,1,2,3,4,5,6
Cutoff Date,,"$87,893,257.18",,September 2029,,"$6,924,551.13"
April 2026,,84584830.49,,October 2029,,6262647.99
May 2026,,81352456.24,,November 2029,,5647756.45
June 2026,,78196626.94,,December 2029,,5076082.93
July 2026,,75116798.66,,January 2030,,4545282.82
August 2026,,72112193.64,,February 2030,,4053877.18
September 2026,,69181513.03,,March 2030,,3599879.63
October 2026,,66323319.29,,April 2030,,3181505.82
November 2026,,63536408.53,,May 2030,,2797273.39
December 2026,,60820007.91,,June 2030,,2446152.38
January 2027,,58173738.16,,July 2030,,2127114.29
February 2027,,55596801.87,,August 2030,,1839429.94
March 2027,,53087979.66,,September 2030,,1582300.27
April 2027,,50646605.50,,October 2030,,1354993.04
May 2027,,48272377.39,,November 2030,,1156695.15
June 2027,,45964988.92,,December 2030,,986515.37
July 2027,,43724086.49,,January 2031,,843490.10
August 2027,,41549363.05,,February 2031,,725172.94
September 2027,,39440579.26,,March 2031,,625122.25
October 2027,,37397359.06,,April 2031,,537163.83
November 2027,,35418989.12,,May 2031,,458339.91
December 2027,,33504161.93,,June 2031,,388179.83
