0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Initial Principal  Amount(2),Initial Principal  Amount(2),,,Initial Offered  Amount(3),Initial Offered  Amount(3),,,Interest Rate(4),,Final Scheduled  Payment Date,,Expected Final  Payment Date
Class A-1 Notes,,,$,382000000,,,$,362900000,,,·%,,"August 18, 2027",,"March 18, 2027"
Class A-2a Notes(2) Class A-2b Notes(2),},,$,552400000,,,$,524780000,,,·% SOFR Rate + ·%,,"April 18, 2029  April 18, 2029",,"March 20, 2028  March 20, 2028"
Class A-3 Notes,,,$,552200000,,,$,524590000,,,·%,,"February 18, 2031",,"November 19, 2029"
Class A-4 Notes,,,$,92350000,,,$,87730000,,,·%,,"November 18, 2032",,"November 19, 2029"
Total,,,$,1578950000,,,$,1500000000,,,,,,,
