0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2022-1,AART 2022-1,,,AART 2026-1,AART 2026-1,
Weighted Average APR,,,6.56,%,,,9.10,%
Aggregate Amount Financed,,$,1084569770.68,,,$,1121938434.96,
Number of Contracts in Pool,,,59861,,,,59907,
Average Amount Financed,,$,18118.14,,,$,18728.00,
Weighted Average Original Maturity (in Months),,,69.93,,,,70.39,
Weighted Average Remaining Maturity (in Months),,,54.74,,,,53.46,
Percentage of Receivables with Original Maturities > 60 Months,,,78.18,%,,,80.01,%
Percentage of New Vehicles,,,50.18,%,,,40.02,%
Weighted Average FICO Score,,,724.99,,,,734.12,
Weighted Average Loan-to-Value,,,93.30,,,,94.27,
Cutoff Date,,,"April 1, 2022",,,,"February 1, 2026",
