0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information,Property Information
Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Portfolio,Portfolio
,,,,,Location:,Various,Various
Original Balance:,"$41,000,000","$41,000,000","$41,000,000",,General Property Type:,Retail,Retail
Cut-off Date Balance:,"$41,000,000","$41,000,000","$41,000,000",,Detailed Property Type:,Shadow Anchored,Shadow Anchored
% of Initial Pool Balance:,6.0%,6.0%,6.0%,,Title Vesting:,Fee,Fee
Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,Various/NAP,Various/NAP
Borrower Sponsors:,Stanley Werb and Jonathan Gaines,Stanley Werb and Jonathan Gaines,Stanley Werb and Jonathan Gaines,,Size:,"269,622 SF","269,622 SF"
Guarantor:,"Ironshore Partners, LLC","Ironshore Partners, LLC","Ironshore Partners, LLC",,Cut-off Date Balance per SF:,$152,$152
Mortgage Rate:,6.5130%,6.5130%,6.5130%,,Maturity Balance per SF:,$152,$152
Note Date:,9/5/2025,9/5/2025,9/5/2025,,Property Manager:,"Rivercrest Realty Associates, LLC","Rivercrest Realty Associates, LLC"
Maturity Date:,9/11/2035,9/11/2035,9/11/2035,,,(borrower-related),(borrower-related)
Original Term to Maturity:,120 months,120 months,120 months,,Underwriting and Financial Information,Underwriting and Financial Information,Underwriting and Financial Information
Original Amortization Term:,0 months,0 months,0 months,,UW NOI:,UW NOI:,"$4,150,952"
IO Period:,120 months,120 months,120 months,,UW NCF:,UW NCF:,"$3,968,406"
Seasoning:,1 month,1 month,1 month,,UW NOI Debt Yield:,UW NOI Debt Yield:,10.1%
Prepayment Provisions:,"L(25),D(88),O(7)","L(25),D(88),O(7)","L(25),D(88),O(7)",,UW NCF Debt Yield:,UW NCF Debt Yield:,9.7%
Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NOI Debt Yield at Maturity:,UW NOI Debt Yield at Maturity:,10.1%
Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,UW NCF DSCR:,1.47x
Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI:,Most Recent NOI:,"$3,959,481 (6/30/2025 TTM)"
Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,2nd Most Recent NOI:,"$3,988,426 (12/31/2024)"
Reserves(1),Reserves(1),Reserves(1),Reserves(1),,3rd Most Recent NOI:,3rd Most Recent NOI:,"$4,026,157 (12/31/2023)"
Type,Initial,Monthly,Cap,,Most Recent Occupancy:,Most Recent Occupancy:,96.2% (8/3/2025)
RE Taxes:,"$392,112","$51,563",NAP,,2nd Most Recent Occupancy:,2nd Most Recent Occupancy:,97.9% (12/31/2024)
Insurance:,$0,Springing,NAP,,3rd Most Recent Occupancy:,3rd Most Recent Occupancy:,99.0% (12/31/2023)
Replacement Reserve:,$0,"$4,494",NAP,,Appraised Value (as of)(2):,Appraised Value (as of)(2):,"$57,400,000 (8/10/2025)"
TI/LC Reserve:,"$400,000",Springing,"$400,000",,Appraised Value per SF(2):,Appraised Value per SF(2):,$213
Debt Service Reserve:,$0,Springing,NAP,,Cut-off Date LTV Ratio(2):,Cut-off Date LTV Ratio(2):,71.4%
Rent Concession Reserve:,"$60,527",$0,NAP,,Maturity Date LTV Ratio(2):,Maturity Date LTV Ratio(2):,71.4%
Existing TI/LC Reserve:,"$29,270",$0,NAP,,,,
,,,,,,,
