0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,BANA,BANA,BANA,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"El Cajon, CA 92021"
Original Balance:,Original Balance:,"$18,000,000","$18,000,000","$18,000,000",,General Property Type:,Manufactured Housing
Cut-off Date Balance:,Cut-off Date Balance:,"$18,000,000","$18,000,000","$18,000,000",,Detailed Property Type:,Manufactured Housing
% of Initial Pool Balance:,% of Initial Pool Balance:,2.5%,2.5%,2.5%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,1971/NAP
Borrower Sponsor:,Borrower Sponsor:,Theresa L. Odom,Theresa L. Odom,Theresa L. Odom,,Size:,205 Pads
Guarantor:,Guarantor:,Theresa L. Odom,Theresa L. Odom,Theresa L. Odom,,Cut-off Date Balance per Pad:,"$87,805"
Mortgage Rate:,Mortgage Rate:,6.0340%,6.0340%,6.0340%,,Maturity Date Balance per Pad:,"$87,805"
Note Date:,Note Date:,10/29/2025,10/29/2025,10/29/2025,,Property Manager:,Self-managed
Maturity Date:,Maturity Date:,11/1/2030,11/1/2030,11/1/2030,,Underwriting  and Financial Information,Underwriting  and Financial Information
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,UW NOI:,"$2,170,076"
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NCF:,"$2,159,826"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NOI Debt Yield:,12.1%
Seasoning:,Seasoning:,1 month,1 month,1 month,,UW NCF Debt Yield:,12.0%
Prepayment Provisions:,Prepayment Provisions:,"L(25),D(28),O(7)","L(25),D(28),O(7)","L(25),D(28),O(7)",,UW NOI Debt Yield at Maturity:,12.1%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Springing/Springing,Springing/Springing,Springing/Springing,,UW NCF DSCR:,1.96x
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,Most Recent NOI:,"$1,899,496 (8/31/2025 TTM)"
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,2nd Most Recent NOI:,"$1,745,721 (12/31/2024)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,3rd Most Recent NOI(1):,NAV
,,,,,,Most Recent Occupancy:,80.0% (10/1/2025)
,,,,,,2nd Most Recent Occupancy:,78.5% (12/31/2024)
Reserves,Reserves,Reserves,Reserves,Reserves,,3rd Most Recent Occupancy(1):,NAV
Type,Initial,Initial,Monthly,Cap,,Appraised Value (as of):,"$46,360,000 (8/27/2025)"
RE Taxes:,"$32,702","$32,702","$16,351",NAP,,Appraised Value per Pad:,"$226,146"
Insurance:,"$27,275","$27,275","$5,455",NAP,,Cut-off Date LTV Ratio:,38.8%
Replacement Reserve:,$0,$0,$854,NAP,,Maturity Date LTV Ratio:,38.8%
,,,,,,,
