0,1,2,3,4,5,6,7,8,9
Loan Name,Mortgage Loan  Cut-off Date Balance,Approx. % of Initial  Pool Balance,Approx. % of Initial  Pool Balance,Loan per SF/Unit(1),U/W NCF DSCR(1)(2),U/W NCF DSCR(1)(2),Cut-off Date  LTV Ratio(1)(2),Cut-off Date  LTV Ratio(1)(2),Property Type
125th & Lenox,"$59,000,000",9.5%,,$581,1.36x,,68.9%,,Retail
Aman Hotel New York,"$55,000,000",8.8%,,"$1,385,542",2.07x,,28.6%,,Hospitality
Olive Industrial 3-Pack,"$51,500,000",8.3%,,$47,1.33x,,66.7%,,Industrial
80 International Drive,"$50,000,000",8.0%,,$100,1.52x,,58.9%,,Industrial
Soudry NYC Multifamily Portfolio,"$48,000,000",7.7%,,"$382,353",1.37x,,63.1%,,Various
415 West 13th Street,"$47,000,000",7.5%,,$694,1.32x,,64.1%,,Mixed Use
Landing at Fancher Creek Apartments,"$46,000,000",7.4%,,"$96,639",1.32x,,63.6%,,Multifamily
Vertex HQ,"$32,300,000",5.2%,,$493,3.29x,,34.0%,,Mixed Use
Manhattan Gateway Shopping Center,"$31,500,000",5.1%,,$384,1.23x,,55.4%,,Retail
The Campus at Lawson Lane,"$24,500,000",3.9%,,$213,3.82x,,31.2%,,Office
ExchangeRight 71,"$24,295,200",3.9%,,$171,1.72x,,53.0%,,Various
Equinox Sports Club Orange County,"$23,600,000",3.8%,,$172,1.20x,,65.7%,,Retail
Hotel Valencia Riverwalk (TX),"$22,550,505",3.6%,,"$105,871",1.29x,,39.6%,,Hospitality
Milford Square,"$16,000,000",2.6%,,$241,1.50x,,63.2%,,Retail
Target Sayville,"$13,487,500",2.2%,,$25,1.25x,,64.2%,,Leased Fee
Top  3 Total/Weighted Average,"$165,500,000",26.6%,,,1.59x,,54.8%,,
Top  5 Total/Weighted Average,"$263,500,000",42.3%,,,1.53x,,57.1%,,
Top  10 Total/Weighted Average,"$444,800,000",71.4%,,,1.72x,,55.3%,,
Top  15 Total/Weighted Average,"$544,733,205",87.5%,,,1.66x,,55.4%,,
