0,1,2,3,4,5
Mortgage Loan,Mortgage Loan Type,Note Name,Control Note/ Non-Control Note,Original Principal Balance,Note Holder(1)
205 East 42nd Street,Serviced,Note A-1,Control,"$64,000,000",BANK5 2025-5YR18
205 East 42nd Street,Serviced,Note A-2,Non-Control,"$20,000,000","JPMorgan Chase Bank, National Association"
205 East 42nd Street,Serviced,Note A-3,Non-Control,"$20,000,000","JPMorgan Chase Bank, National Association"
Rosedale Apartments,Serviced,Note A-1,Control,"$60,700,000",BANK5 2025-5YR18
Rosedale Apartments,Serviced,Note A-2,Non-Control,"$30,000,000","Bank of America, National Association"
Marriott Melville,Serviced,Note A-1,Control,"$60,000,000",BANK5 2025-5YR18
Marriott Melville,Serviced,Note A-2,Non-Control,"$11,000,000","JPMorgan Chase Bank, National Association"
International Plaza,Non- Serviced,Note A-1-1,Control,"$225,625,000",INT 2025-PLAZA
International Plaza,Non- Serviced,Note A-1-2,Non-Control,"$112,812,500",INT 2025-PLAZA
International Plaza,Non- Serviced,Note A-1-3,Non-Control,"$112,812,500",INT 2025-PLAZA
International Plaza,Non- Serviced,Note A-2-1,Non-Control,"$25,000,000",BANK5 2025-5YR18
International Plaza,Non- Serviced,Note A-2-2,Non-Control,"$12,500,000",BBCMS 2025-5C38
International Plaza,Non- Serviced,Note A-2-3,Non-Control,"$12,500,000",BANK5 2025-5YR18
International Plaza,Non- Serviced,Note A-3-1,Non-Control,"$25,000,000","Wells Fargo Bank, National Association"
International Plaza,Non- Serviced,Note A-3-2,Non-Control,"$12,500,000",BBCMS 2025-5C38
International Plaza,Non- Serviced,Note A-3-3,Non-Control,"$12,500,000",BANK5 2025-5YR18
International Plaza,Non- Serviced,Note B-1-1,Non-Control,"$11,875,000",INT 2025-PLAZA
International Plaza,Non- Serviced,Note B-1-2,Non-Control,"$5,937,500",INT 2025-PLAZA
International Plaza,Non- Serviced,Note B-1-3,Non-Control,"$5,937,500",INT 2025-PLAZA
Capital Storage Portfolio,Servicing Shift(2),Note A-1,Control(2),"$70,000,000","Wells Fargo Bank, National Association"
Capital Storage Portfolio,Servicing Shift(2),Note A-2,Non-Control,"$40,000,000",BANK5 2025-5YR18
Capital Storage Portfolio,Servicing Shift(2),Note A-3,Non-Control,"$20,000,000","Wells Fargo Bank, National Association"
Capital Storage Portfolio,Servicing Shift(2),Note A-4,Non-Control,"$10,000,000","Wells Fargo Bank, National Association"
Mall at Bay Plaza,Servicing Shift(2),Note A-1,Non-Control,"$70,000,000","JPMorgan Chase Bank, National Association"
Mall at Bay Plaza,Servicing Shift(2),Note A-2,Non-Control,"$30,000,000",BANK5 2025-5YR18
Mall at Bay Plaza,Servicing Shift(2),Note A-3,Non-Control,"$70,000,000","JPMorgan Chase Bank, National Association"
Mall at Bay Plaza,Servicing Shift(2),Note B(3)(4),Control,"$110,000,000","JPMorgan Chase Bank, National Association"
1010 Pacific Street,Non-Serviced,Note A-1,Control,"$54,500,000",Benchmark 2025-V18
1010 Pacific Street,Non-Serviced,Note A-2,Non-Control,"$30,000,000",BANK5 2025-5YR18
Terra Apartments,Non-Serviced,Note A-1,Control,"$55,000,000",MSBAM 2025-5C2
Terra Apartments,Non-Serviced,Note A-2,Non-Control,"$12,000,000",BANK5 2025-5YR18
Terra Apartments,Non-Serviced,Note A-3,Non-Control,"$7,000,000",BANK5 2025-5YR18
