0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,Class B,Class B,Class B,Class B,Class B,Class B,Class B,Class B,Class B,Class B,Class B,,Class C,Class C,Class C,Class C,Class C,Class C,Class C,Class C,Class C,Class C,Class C,
"May 15,  2029",,100.00,,100.00,,100.00,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,0.00,,0.00,,0.00,
"June 15,  2029",,100.00,,100.00,,100.00,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,0.00,,0.00,,0.00,
"July 15,  2029",,100.00,,100.00,,100.00,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,0.00,,0.00,,0.00,
"August 15,  2029",,100.00,,100.00,,100.00,,0.00,,0.00,,0.00,,100.00,,100.00,,100.00,,0.00,,0.00,,0.00,
"September 15,  2029",,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,
"October 15,  2029",,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,
"November 15,  2029",,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,
"December 15,  2029",,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,
"January 15,  2030",,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,
"February 15,  2030",,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"March 15,  2030",,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"April 15,  2030",,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,
"May 15,  2030",,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
,,,,,,,,,,,,,,,,,,,,,,,,,
Weighted  Average Life to Call (years)(2),,4.47,,4.22,,3.81,,3.47,,2.89,,2.56,,4.47,,4.22,,3.81,,3.47,,2.89,,2.56,
Weighted  Average Life to Maturity (years)(2),,5.12,,4.77,,4.35,,3.99,,3.35,,2.95,,5.57,,5.31,,4.82,,4.42,,3.75,,3.30,
