0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,End of Month Aggregate Principal Balance(19),,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies,Delinquencies
,,,End of Month Aggregate Principal Balance(19),,31-60 days(20),,61-90 days(20),,91-120 days(20),,121+ days(20),,>60 days Delinquent %(21)
Months Since Origination,,,End of Month Aggregate Principal Balance(19),,31-60 days(20),,61-90 days(20),,91-120 days(20),,121+ days(20),,>60 days Delinquent %(21)
Months Since Origination,0.0,,"$21,344,921,238",,"$31,939,029",,"$2,034,749",,"$531,802",,"$242,797",,0.01%
Months Since Origination,1.0,,20909575686,,42996453,,1527333,,185747,,146835,,0.01%
Months Since Origination,2.0,,20255549384,,123157996,,6362611,,461944,,310137,,0.04%
Months Since Origination,3.0,,19604556088,,178053698,,28723265,,2990232,,661465,,0.17%
Months Since Origination,4.0,,18955300655,,168880940,,56938236,,16364553,,2091954,,0.40%
Months Since Origination,5.0,,18288305637,,165622338,,61755664,,33421568,,8863976,,0.57%
Months Since Origination,6.0,,17604161324,,159132433,,63125154,,34309962,,17850630,,0.65%
Months Since Origination,7.0,,16912767096,,151669955,,60996110,,35506419,,19725943,,0.69%
Months Since Origination,8.0,,16221064173,,144941247,,57509867,,34287693,,19679697,,0.69%
Months Since Origination,9.0,,15530897268,,137699645,,54553474,,32192399,,18904067,,0.68%
Months Since Origination,10.0,,14844334872,,130775584,,50960786,,30693097,,17833241,,0.67%
Months Since Origination,11.0,,14161862898,,121903954,,47715225,,28700437,,17772759,,0.67%
Months Since Origination,12.0,,13476452434,,112496480,,44130397,,26474446,,17118910,,0.65%
Months Since Origination,13.0,,12791182205,,108785281,,41112389,,24447117,,16087912,,0.64%
Months Since Origination,14.0,,12114739745,,101591005,,39219193,,22711168,,15125974,,0.64%
Months Since Origination,15.0,,11450097608,,95981581,,36760713,,21531109,,14326865,,0.63%
Months Since Origination,16.0,,10788496075,,90031924,,35353739,,20162787,,13693197,,0.64%
Months Since Origination,17.0,,10132554150,,83641904,,32075476,,18652651,,13148036,,0.63%
Months Since Origination,18.0,,9484307113,,78632312,,29905327,,17657284,,12534327,,0.63%
Months Since Origination,19.0,,8833742334,,73153291,,28347493,,16233218,,12228109,,0.64%
Months Since Origination,20.0,,8187647362,,68552062,,26180852,,15361301,,11278555,,0.65%
Months Since Origination,21.0,,7550547728,,63509522,,24474855,,14287417,,10413309,,0.65%
Months Since Origination,22.0,,6922667369,,58589095,,23008216,,13596952,,9431639,,0.67%
Months Since Origination,23.0,,6304812021,,53109085,,20876508,,12535684,,8826941,,0.67%
Months Since Origination,24.0,,5689959906,,46884888,,18806301,,11253703,,7959106,,0.67%
,25.0,,5100806727,,42682851,,16811353,,10167736,,7209988,,0.67%
,26.0,,4542254281,,37610522,,15407251,,9188548,,6351097,,0.68%
,27.0,,3996945409,,33481681,,13759028,,8224834,,5542217,,0.69%
,28.0,,3031443254,,26182202,,10754713,,6581571,,4409548,,0.72%
,29.0,,2314027225,,20436121,,8547911,,5359966,,3571071,,0.76%
,30.0,,1670426646,,15377312,,6528780,,4108259,,2841682,,0.81%
,31.0,,1152519162,,11002274,,4797268,,3024192,,2099840,,0.86%
,32.0,,793007877,,7895658,,3470315,,2274429,,1635782,,0.93%
,33.0,,487136973,,5008988,,2447530,,1618061,,1229480,,1.09%
,34.0,,242968928,,2942427,,1470898,,1019651,,853505,,1.38%
,35.0,,91030715,,1515982,,805325,,600786,,565346,,2.17%
,36.0,,16357724,,600441,,378653,,296911,,333168,,6.17%
