0,1,2
Hyundai  Auto Receivables  Trust 2024-C,Hyundai  Auto Receivables  Trust 2024-C,
"If the aggregate initial  principal amount of the notes is $1,301,250,000, the following notes will be issued:","If the aggregate initial  principal amount of the notes is $1,301,250,000, the following notes will be issued:",
Class A-1  Notes,"$257,000,000",
Class A-2-A  Notes,$●,
Class A-2-B  Notes,$●,
Class A-3  Notes,"$431,630,000",
Class A-4  Notes,"$66,930,000",
Class B  Notes,"$24,020,000",
Class C  Notes,"$40,040,000",
,,
"If the aggregate initial principal amount of the notes  is $1,722,730,000, the following notes will be issued:","If the aggregate initial principal amount of the notes  is $1,722,730,000, the following notes will be issued:",
,,
Class A-1 Notes,"$340,240,000",
Class A-2-A Notes,$●,
Class A-2-B Notes,$●,
Class A-3 Notes,"$571,440,000",
Class A-4 Notes,"$88,610,000",
Class B Notes,"$31,800,000",
Class C Notes,"$53,010,000",
,,
PROSPECTUS,PROSPECTUS,
Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,
Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,
Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,
Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,
Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,
Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,
Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,
Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,Joint Book Runners  Barclays  MUFG  Santander  SMBC Nikko  Wells Fargo  Securities  Co-Managers  ●  ●  ●  ●,
