0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,WOSAT 2020-A,WOSAT 2020-A,WOSAT 2020-A,WOSAT 2020-A,,,WOSAT 2021-A,WOSAT 2021-A,WOSAT 2021-A,WOSAT 2021-A,,,WOSAT 2023-A,WOSAT 2023-A,WOSAT 2023-A,WOSAT 2023-A,
,,Starting  Principal  Balance ($),,,% of  Aggregate  Starting  Principal  Balance,,,Starting  Principal  Balance ($),,,% of  Aggregate  Starting  Principal Balance,,,Starting  Principal  Balance ($),,,% of  Aggregate  Starting  Principal Balance,
Florida,,461327896.24,,,53.3,%,,564597580.56,,,53.2,%,,500490385.91,,,53.7,%
Georgia,,173026599.74,,,20.0,%,,218961449.36,,,20.6,%,,180247653.50,,,19.3,%
North Carolina,,90798912.65,,,10.5,%,,102880179.15,,,9.7,%,,80803313.52,,,8.7,%
Alabama,,73422221.32,,,8.5,%,,97751925.47,,,9.2,%,,96336557.96,,,10.3,%
South Carolina,,54085479.70,,,6.2,%,,57316747.11,,,5.4,%,,52709093.01,,,5.7,%
All Others,,13288587.19,,,1.5,%,,19612573.87,,,1.8,%,,21169997.73,,,2.3,%
Total,,865949696.84,,,100.0,%,,1061120455.52,,,100.0,%,,931757001.63,,,100.0,%
