0,1,2,3,4,5
Mortgage Loan,Mortgage Loan Type,Note Name,Control Note/ Non-Control Note,Original Principal Balance,Note Holder(1)
125th & Lenox,Serviced,Note A-1-1,Control,"$59,000,000",WFCM 2025-5C6
125th & Lenox,Serviced,Note A-1-2,Non-Control,"$16,000,000","RREF V – D Direct Lending Investments, LLC"
,,Note A-2,Non-Control,"$25,000,000",Morgan Stanley Mortgage Capital Holdings LLC
Aman Hotel New York,Serviced,Note A-1-1,Control,"$55,000,000",WFCM 2025-5C6
Aman Hotel New York,Serviced,Note A-1-2,Non-Control,"$10,000,000","JPMorgan Chase Bank, National Association"
Aman Hotel New York,Serviced,Note A-2,Non-Control,"$30,000,000","JPMorgan Chase Bank, National Association"
Aman Hotel New York,Serviced,Note A-3,Non-Control,"$20,000,000",BANK5 2025-5YR16
80 International Drive,Serviced,Note A-1-1,Control,"$20,000,000",WFCM 2025-5C6
80 International Drive,Serviced,Note A-1-2,Non-Control,"$2,500,000",WFCM 2025-5C6
80 International Drive,Serviced,Note A-1-3,Non-Control,"$2,500,000",WFCM 2025-5C6
80 International Drive,Serviced,Note A-1-4,Non-Control,"$10,000,000",UBS AG
80 International Drive,Serviced,Note A-2-1,Non-Control,"$20,000,000",WFCM 2025-5C6
80 International Drive,Serviced,Note A-2-2,Non-Control,"$2,500,000",WFCM 2025-5C6
80 International Drive,Serviced,Note A-2-3,Non-Control,"$2,500,000",WFCM 2025-5C6
80 International Drive,Serviced,Note A-2-4,Non-Control,"$10,000,000","Wells Fargo Bank, National Association"
Soudry NYC Multifamily Portfolio,Serviced,Note A-1,Control,"$48,000,000",WFCM 2025-5C6
Soudry NYC Multifamily Portfolio,Serviced,Note A-2,Non-Control,"$30,000,000",Benchmark 2025-V17(3)
Vertex HQ,Non-Serviced,Note A-1-1,Control,"$98,920,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note A-1-2-1,Non-Control,"$60,000,000","Morgan Stanley Bank, N.A."
Vertex HQ,Non-Serviced,Note A-1-2-2,Non-Control,"$64,600,000","Morgan Stanley Bank, N.A."
Vertex HQ,Non-Serviced,Note A-2-1,Non-Control,"$49,460,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note A-2-2-A,Non-Control,"$24,000,000",BBCMS 2025-5C37(4)
Vertex HQ,Non-Serviced,Note A-2-2-B,Non-Control,"$21,000,000",Bank of Montreal
Vertex HQ,Non-Serviced,Note A-2-2-C,Non-Control,"$10,000,000",Bank of Montreal
Vertex HQ,Non-Serviced,Note A-2-2-D,Non-Control,"$7,300,000",BBCMS 2025-5C37(4)
Vertex HQ,Non-Serviced,Note A-3-1,Non-Control,"$49,460,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note A-3-2-A,Non-Control,"$38,700,000",BBCMS 2025-5C37(4)
Vertex HQ,Non-Serviced,Note A-3-2-B,Non-Control,"$23,600,000",Goldman Sachs Bank USA
Vertex HQ,Non-Serviced,Note A-4-1,Non-Control,"$49,460,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note A-4-2-A,Non-Control,"$32,300,000",WFCM 2025-5C6
Vertex HQ,Non-Serviced,Note A-4-2-B,Non-Control,"$30,000,000","JPMorgan Chase Bank, National Association"
Vertex HQ,Non-Serviced,Note B-1,Non-Control,"$42,920,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note B-2,Non-Control,"$21,460,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note B-3,Non-Control,"$21,460,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note B-4,Non-Control,"$21,460,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note C-1,Non-Control,"$46,720,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note C-2,Non-Control,"$23,360,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note C-3,Non-Control,"$23,360,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note C-4,Non-Control,"$23,360,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note D-1,Non-Control,"$55,200,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note D-2,Non-Control,"$27,600,000",VRTX 2025-HQ
Vertex HQ,Non-Serviced,Note D-3,Non-Control,"$27,600,000",VRTX 2025-HQ
