0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
May 2026,75.83%,73.12%,71.73%,70.30%,67.34%,64.24%
June 2026,64.63%,60.46%,58.31%,56.10%,51.52%,46.72%
July 2026,53.34%,47.65%,44.70%,41.68%,35.40%,28.79%
August 2026,41.47%,34.15%,30.35%,26.45%,18.32%,9.74%
September 2026,30.70%,21.80%,17.18%,12.42%,2.51%,0.00%
October 2026,19.18%,8.74%,3.30%,0.00%,0.00%,0.00%
November 2026,6.47%,0.00%,0.00%,0.00%,0.00%,0.00%
December 2026,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),0.33,0.30,0.28,0.26,0.24,0.22
Weighted Average Life to Call (years)(2)(3),0.33,0.30,0.28,0.26,0.24,0.22
