0,1,2,3,4,5
Mortgage Loan/Property  Portfolio Names,Aggregate Cut-off  Date Balance,Aggregate Cut-off  Date Balance,Aggregate Cut-off  Date Balance,Approx. % of Initial  Pool Balance,Approx. % of Initial  Pool Balance
BioMed MIT Portfolio,$,57500000,,8.3,%
Coastal Equities Portfolio,,55000000,,8.0,
Arapaho and Crystal Pointe Flex Portfolio,,41000000,,6.0,
Rivercrest Walmart Shadow Anchored Portfolio,,41000000,,6.0,
MRN Portfolio,,38000000,,5.5,
The Willard & The Met,,25000000,,3.6,
CVS-Walgreens Portfolio,,24000000,,3.5,
Deerpath Pavilion & Smithville Square,,15500000,,2.3,
Total,$,297000000,,43.1,%
