0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,,,,,,,,,,,,,
,,SDART 2025-3,,SDART 2025-2,,SDART 2025-1,,SDART 2024-5,,SDART 2024-4,,SDART 2024-3,,SDART 2024-2,,SDART 2024-1,,SDART 2023-6,,SDART 2023-5,,SDART 2023-4
Current Principal Balance (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,
"45,001 - 50,000",,4.76%,,4.51%,,4.33%,,4.41%,,4.44%,,4.22%,,4.35%,,4.40%,,4.43%,,4.14%,,3.98%
"50,001 and above",,34.02%,,35.25%,,32.01%,,32.26%,,32.36%,,33.18%,,35.01%,,33.61%,,32.91%,,33.14%,,32.42%
,,,,,,,,,,,,,,,,,,,,,,
Loan Funded Score (% of Aggregate Principal Balance(5),,,,,,,,,,,,,,,,,,,,,,
450 and lower,,1.56%,,6.21%,,7.44%,,6.55%,,5.83%,,7.07%,,5.07%,,6.53%,,2.81%,,2.13%,,4.32%
451 - 500,,30.58%,,24.69%,,24.02%,,23.56%,,25.68%,,22.52%,,22.65%,,23.21%,,30.24%,,28.05%,,28.41%
501 - 550,,34.16%,,34.17%,,33.28%,,33.42%,,34.21%,,33.17%,,35.00%,,33.95%,,32.86%,,35.90%,,32.01%
551 - 600,,21.80%,,22.77%,,19.98%,,21.22%,,21.71%,,23.27%,,24.34%,,22.36%,,20.28%,,21.07%,,20.36%
601 - 650,,8.18%,,8.28%,,9.67%,,10.69%,,8.18%,,9.58%,,8.65%,,8.93%,,8.99%,,8.60%,,9.54%
651 - 700,,2.63%,,2.63%,,3.70%,,3.19%,,2.97%,,3.24%,,3.03%,,3.44%,,3.20%,,3.02%,,3.43%
701 - 750,,0.78%,,0.77%,,1.17%,,0.97%,,0.91%,,0.90%,,0.99%,,1.20%,,1.20%,,0.90%,,1.19%
751+,,0.31%,,0.47%,,0.74%,,0.41%,,0.51%,,0.26%,,0.26%,,0.38%,,0.42%,,0.34%,,0.74%
Not Available(6),,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,,,,,,,,,,,
FICO® Score (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,
