0,1,2,3,4,5,6,7
Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,Mortgage Loan Information,,Property Information,Property Information
Mortgage Loan Seller:,Mortgage Loan Seller:,WFB,WFB,WFB,,Single Asset/Portfolio:,Single Asset
,,,,,,Location:,"Lincoln, NE 68504"
Original Balance:,Original Balance:,"$31,610,000","$31,610,000","$31,610,000",,General Property Type:,Multifamily
Cut-off Date Balance:,Cut-off Date Balance:,"$31,610,000","$31,610,000","$31,610,000",,Detailed Property Type:,Mid Rise
% of Initial Pool Balance:,% of Initial Pool Balance:,3.7%,3.7%,3.7%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated:,2018 / 2020
Borrower Sponsor:,Borrower Sponsor:,Christopher L. Erickson,Christopher L. Erickson,Christopher L. Erickson,,Size:,234 Units
Guarantor:,Guarantor:,Christopher L. Erickson,Christopher L. Erickson,Christopher L. Erickson,,Cut-off Date Balance per Unit:,"$135,085"
Mortgage Rate:,Mortgage Rate:,6.28000%,6.28000%,6.28000%,,Maturity Date Balance per Unit:,"$135,085"
Note Date:,Note Date:,3/16/2026,3/16/2026,3/16/2026,,Property Manager:,"Placemaker Properties, LLC"
Maturity Date:,Maturity Date:,4/11/2031,4/11/2031,4/11/2031,,,(borrower-related)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$2,670,369"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF:,"$2,609,425"
Seasoning:,Seasoning:,2 months,2 months,2 months,,UW NOI Debt Yield:,8.4%
Prepayment Provisions:,Prepayment Provisions:,"L(24),YM1(31),O(5)","L(24),YM1(31),O(5)","L(24),YM1(31),O(5)",,UW NCF Debt Yield:,8.3%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Soft/In Place,Soft/In Place,Soft/In Place,,UW NOI Debt Yield at Maturity:,8.4%
Additional Debt Type(1):,Additional Debt Type(1):,Preferred Equity,Preferred Equity,Preferred Equity,,UW NCF DSCR:,1.30x
Additional Debt Balance(1):,Additional Debt Balance(1):,"$1,250,000","$1,250,000","$1,250,000",,Most Recent NOI:,"$2,539,349 (12/31/2025)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$2,676,781 (12/31/2024)"
Reserves,Reserves,Reserves,Reserves,Reserves,,3rd Most Recent NOI:,"$2,800,906 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy:,94.0% (1/31/2026)
RE Taxes:,"$141,309","$141,309","$47,103",NAP,,2nd Most Recent Occupancy:,92.7% (12/31/2024)
Insurance:,"$162,215","$162,215","$14,194",NAP,,3rd Most Recent Occupancy:,96.5% (12/31/2023)
Replacement Reserve:,$0,$0,"$5,079",NAP,,Appraised Value (as of):,"$46,400,000 (12/12/2025)"
Rent Concession Reserve:,"$42,315","$42,315",$0,NAP,,Appraised Value per Unit:,"$198,291"
Existing TI/LC Reserve:,"$885,000","$885,000",$0,NAP,,Cut-off Date LTV Ratio:,68.1%
,,,,,,Maturity Date LTV Ratio:,68.1%
,,,,,,,
