0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2025-1,AART 2025-1,,,AART 2026-1,AART 2026-1,
Weighted Average APR,,,9.52,%,,,9.10,%
Aggregate Amount Financed,,$,1121998836.17,,,$,1121938434.96,
Number of Contracts in Pool,,,58335,,,,59907,
Average Amount Financed,,$,19233.72,,,$,18728.00,
Weighted Average Original Maturity (in Months),,,70.62,,,,70.39,
Weighted Average Remaining Maturity (in Months),,,53.50,,,,53.46,
Percentage of Receivables with Original Maturities > 60 Months,,,79.88,%,,,80.01,%
Percentage of New Vehicles,,,40.03,%,,,40.02,%
Weighted Average FICO Score,,,734.97,,,,734.12,
Weighted Average Loan-to-Value,,,94.61,,,,94.27,
Cutoff Date,,,"September 1, 2025",,,,"February 1, 2026",
