0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-2,AART 2019-2,,,AART 2026-1,AART 2026-1,
Weighted Average APR,,,7.00,%,,,9.10,%
Aggregate Amount Financed,,$,1120998037.60,,,$,1121938434.96,
Number of Contracts in Pool,,,66351,,,,59907,
Average Amount Financed,,$,16894.97,,,$,18728.00,
Weighted Average Original Maturity (in Months),,,66.15,,,,70.39,
Weighted Average Remaining Maturity (in Months),,,56.60,,,,53.46,
Percentage of Receivables with Original Maturities > 60 Months,,,66.85,%,,,80.01,%
Percentage of New Vehicles,,,70.00,%,,,40.02,%
Weighted Average FICO Score,,,736.78,,,,734.12,
Weighted Average Loan-to-Value,,,93.20,,,,94.27,
Cutoff Date,,,"May 1, 2019",,,,"February 1, 2026",
