0,1,2,3
,Fair Value  (in millions),,Fair Value  (as a percentage of the aggregate fair value of the Notes and Certificates)
Class A-1 Notes,$195.0,,12.3%
Class A-2a Notes,$243.8 - $487.5,,15.4% - 30.7%
Class A-2b Notes,$0.0 - $243.8,,0.0% - 15.4%
Class A-3 Notes,$487.5,,30.7%
Class A-4 Notes,$130.0,,8.2%
Certificates,$285.5 - $287.6,,18.0%-18.1%
Total,"$1,585.5 - $1,587.6",,100.0%
