0,1,2,3,4,5,6,7,8,9
Class(1),,,Initial  Principal  Amount(2),Initial  Principal  Amount(2),,,Interest Rate,,Final Scheduled  Maturity Date
A-1,,,$,332000000,,,·%,,"June 15, 2026"
A-2-A  A-2-B,},,$,509500000,,,·% SOFR Rate +·%(3),,"August 15, 2028"
A-3,,,$,484500000,,,·%,,"December 17, 2029"
A-4,,,$,100140000,,,·%,,"June 17, 2030"
B,,,$,27700000,,,·%,,"July 15, 2030"
C,,,$,46160000,,,·%,,"July 15, 2032"
