0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,Initial  Principal  Amount(2),,,,Initial  Offered  Amount(3),,,Interest  Rate(4),,Final Scheduled  Payment Date,,Expected Final  Payment Date
Class A-1 Notes,,,$,427000000,,,$,405650000,,,●%,,"May 15, 2026",,"December 15, 2025"
Class A-2a Notes(5) Class A-2b Notes(5),},,$,602000000,,,$,571900000,,,●% SOFR Rate +●%,,"January 18, 2028 January 18, 2028",,"January 15, 2027 January 15, 2027"
Class A-3 Notes,,,$,549400000,,,$,521930000,,,●%,,"October 15, 2029",,"August 15, 2028"
Class A-4 Notes,,,$,105820000,,,$,100520000,,,●%,,"August 15, 2031",,"August 15, 2028"
Total,,,$,1684220000,,,$,1600000000,,,,,,,
