0,1,2
Number of receivables,,73005
Average principal balance,,"$23,661.54"
Range of principal balances,,"$1,004.38 to $83,358.35"
Weighted average annual percentage rate(1),,4.93%
Range of annual percentage rates,,0.90% to 24.62%
Weighted average original term to maturity(1),,61.90 months
Range of original terms to maturity,,24 months to 72 months
Weighted average remaining term to maturity(1),,49.47 months
Range of remaining terms to maturity,,7 months to 70 months
Percentage of aggregate principal balance of receivables for new/used vehicles,,85.96%/14.04%
