0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2025,71.71%,68.34%,66.58%,64.78%,61.03%,57.06%
December 2025,58.08%,52.90%,50.21%,47.43%,41.65%,35.51%
January 2026,44.39%,37.34%,33.66%,29.88%,21.96%,13.54%
February 2026,26.64%,17.78%,13.15%,8.38%,0.00%,0.00%
March 2026,11.38%,0.62%,0.00%,0.00%,0.00%,0.00%
April 2026,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),0.29,0.26,0.25,0.24,0.21,0.20
Weighted Average Life to Call (years)(2)(3),0.29,0.26,0.25,0.24,0.21,0.20
