0,1,2
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association","Wells Fargo Bank, National Association"
Rep. No. on Annex D-1,Mortgage Loan and Number as Identified on Annex A-1,Description of Exception
,,"borrower's inadvertent failure to provide adequate notice or timely or complete information otherwise required by the Mortgage Loan documents, or otherwise obtain necessary prior approval therefor."
(28) Recourse Obligation,International Plaza (Loan No. 4),"The mortgaged property is security for 9 senior pari passu notes aggregating $551,250,000 and 3 subordinate notes aggregating $23,750,000, totaling $575,000,000. The loan documents provide that the SPE borrower has personal liability for losses related to breaches of environmental covenants and other stipulated recourse events; however, for so long as certain Taubman Realty Group LLC, other key principals or related affiliates satisfying replacement guarantor criteria are the non-recourse carveout guarantor, the non-recourse carveout guarantor’s liability is limited to 20% of the original principal amount of the related whole loan, plus all reasonable out-of-pocket costs and expenses (including court costs and fees and reasonable attorneys’ fees) incurred in the enforcement of the guaranty or preservation of the lender’s rights under the guaranty."
(31) Acts of Terrorism Exclusion.,"All Wells Fargo Loans (Loan Nos. 4,6,8,15 and 16)","To the extent exceptions have been taken to the Insurance representation (#18) for failure to provide required insurance, such as self-insurance and leased fee situations, such exceptions also apply to the Acts of Terrorism representation."
(33) Single-Purpose Entity.,Capital Storage Portfolio (Loan No. 8),"The Mortgaged Property is comprised of 22 self-storage properties that are security for 4 pari passu notes aggregating $140,000,000. With respect to the Hudson, FL mortgaged property, having an allocated loan amount of $6,022,000, or 4.3% of the whole loan amount), the related SPE borrower previously owned an adjacent undeveloped parcel that was out-conveyed prior to loan origination. The prior owned property was accounted for in the historic and regulatory data and there are no records of releases on or adjacent to it that would potentially impact the value or result in liability. The Mortgage Loan documents provide that the borrowers and guarantors have personal liability for losses related to such prior owned property."
(33) Single-Purpose Entity.,Plaza Paseo Del Norte (Loan No. 16),"The SPE tenancy-in-common borrower is comprised of three entities. One of the constituent entities, CPP Paseo I LLC, previously owned an adjacent theatre parcel that was out-conveyed to an affiliate prior to loan origination. The Phase I environmental site assessment obtained in connection with loan origination included the prior owned property, and no environmental issues were identified. The Mortgage Loan documents provide that the borrower and guarantors have personal liability for losses related to such prior owned property."
(34) Defeasance.,International Plaza (Loan No. 4),"The Mortgaged Property is security for 9 senior pari passu notes aggregating $551,250,000 and 3 subordinate notes aggregating $23,750,000, totaling $575,000,000. In connection with a defeasance, the borrower’s obligations to pay servicing fees is capped at $20,000. Other fees, including documentation and rating agency fees or related costs are required to be paid in full prior to the defeasance date."
(34) Defeasance.,Plaza Paseo Del Norte (Loan No. 16),"In connection with a defeasance, the borrower’s obligations to pay servicing fees is capped at $20,000. Other fees, including documentation and rating agency fees or related costs are required to be paid in full prior to the defeasance date."
(43) Environmental Conditions.,The Common Place (Loan No. 15),"The Phase I environmental site assessment obtained in connection with loan origination identified a recognized environmental condition (REC) associated with the Mortgaged Property’s historical use as a semi-trailer repair facility with known soil and groundwater impacts from petroleum and other volatile organic compound contaminants. Multiple environmental investigations and remediation efforts have been conducted on-site since 2014, including soil excavation and groundwater monitoring. Additionally, a passive sub-slab vapor mitigation system was installed in the building during construction of the subject improvements. In January 2025 indoor"
