0,1,2,3,4,5,6
Class of  Certificates,Expected  Range of Initial Certificate Balance,Expected  Range of Initial Available Certificate Balance,Expected  Range of Initial Retained Certificate Balance,Expected  Range of Assumed Final Distribution Dates,Expected  Range of Weighted Average Life (Years),Expected  Range of Principal Window
Class A-2,"$0 - $175,000,000","$0 – $171,395,000","$0 – $3,605,000",NAP – May 2031,NAP – 4.76,NAP / 01/31 – 05/31
Class A-3,"$203,433,000 - $378,433,000","$199,242,000 – $370,637,000","$4,191,000 – $7,796,000",June 2031 – June 2031,4.83 – 4.90,01/31 – 06/31 / 05/31 – 06/31
