0,1,2,3,4,5,6,7,8,9,10,11,12
Payment Date,,0.50%,,1.00%,,1.30%,,1.50%,,1.70%,,2.00%
Closing Date,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%,,100.00%
"September 21, 2024",,79.53%,,74.87%,,71.72%,,69.43%,,66.95%,,62.71%
"October 21, 2024",,69.38%,,62.56%,,57.94%,,54.59%,,50.96%,,44.79%
"November 21, 2024",,59.30%,,50.41%,,44.41%,,40.05%,,35.34%,,27.36%
"December 21, 2024",,49.27%,,38.43%,,31.11%,,25.81%,,20.08%,,10.41%
"January 21, 2025",,39.31%,,26.62%,,18.06%,,11.87%,,5.19%,,0.00%
"February 21, 2025",,29.40%,,14.98%,,5.26%,,0.00%,,0.00%,,0.00%
"March 21, 2025",,19.56%,,3.51%,,0.00%,,0.00%,,0.00%,,0.00%
"April 21, 2025",,9.79%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"May 21, 2025",,0.07%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
"June 21, 2025",,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,
Weighted Average Life To Maturity (years)(1)(2),,0.38,,0.31,,0.27,,0.25,,0.23,,0.20
Weighted Average Life To Call (years)(1)(3),,0.38,,0.31,,0.27,,0.25,,0.23,,0.20
