0,1,2
Number of receivables,,73301
Average principal balance,,"$23,565.95"
Range of principal balances,,"$1,001.16 to $88,106.78"
Weighted average annual percentage rate(1),,4.89%
Range of annual percentage rates,,0.69% to 24.04%
Weighted average original term to maturity(1),,62.07 months
Range of original terms to maturity,,24 months to 72 months
Weighted average remaining term to maturity(1),,50.08 months
Range of remaining terms to maturity,,7 months to 70 months
Percentage of aggregate principal balance of receivables for new/used vehicles,,85.95%/14.05%
