0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
March 2024,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
April 2024,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
May 2024,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
June 2024,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2024,100.00%,100.00%,100.00%,100.00%,99.58%,96.12%
August 2024,100.00%,100.00%,98.18%,96.23%,92.21%,88.05%
September 2024,98.57%,94.20%,91.95%,89.66%,84.95%,80.04%
October 2024,93.05%,88.06%,85.49%,82.87%,77.47%,71.83%
November 2024,87.92%,82.32%,79.43%,76.48%,70.38%,64.01%
December 2024,82.17%,75.97%,72.77%,69.50%,62.74%,55.64%
January 2025,75.84%,69.09%,65.60%,62.02%,54.61%,46.83%
February 2025,69.63%,62.33%,58.54%,54.67%,46.63%,38.16%
March 2025,63.07%,55.25%,51.20%,47.04%,38.40%,29.27%
April 2025,56.49%,48.18%,43.86%,39.43%,30.20%,20.44%
May 2025,50.32%,41.53%,36.95%,32.25%,22.45%,12.04%
June 2025,43.89%,34.64%,29.83%,24.87%,14.52%,3.50%
July 2025,37.69%,28.00%,22.95%,17.75%,6.86%,0.00%
August 2025,31.74%,21.63%,16.35%,10.90%,0.00%,0.00%
September 2025,25.81%,15.30%,9.80%,4.12%,0.00%,0.00%
October 2025,19.33%,8.48%,2.79%,0.00%,0.00%,0.00%
November 2025,12.25%,1.12%,0.00%,0.00%,0.00%,0.00%
December 2025,6.41%,0.00%,0.00%,0.00%,0.00%,0.00%
January 2026,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),1.33,1.22,1.17,1.12,1.03,0.95
Weighted Average Life to Call (years)(2)(3),1.33,1.22,1.17,1.12,1.03,0.95
